# key exchange: 15, sa_list: [[<IKEv2_Transform  next_payload=Transform length=12 transform_type=Encryption transform_id=AES-CBC key_length=128 |>, <IKEv2_Transform  next_payload=Transform length=12 transform_type=Encryption transform_id=AES-CBC key_length=256 |>, <IKEv2_Transform  next_payload=Transform length=8 transform_type=Encryption transform_id=3DES |>, <IKEv2_Transform  next_payload=Transform transform_type=PRF transform_id=PRF_HMAC_SHA1 |>, <IKEv2_Transform  next_payload=Transform transform_type=PRF transform_id=PRF_HMAC_SHA2_256 |>, <IKEv2_Transform  next_payload=Transform transform_type=PRF transform_id=PRF_HMAC_MD5 |>, <IKEv2_Transform  next_payload=Transform transform_type=Integrity transform_id=HMAC-SHA1-96 |>, <IKEv2_Transform  next_payload=Transform transform_type=Integrity transform_id=SHA2-256-128 |>, <IKEv2_Transform  next_payload=Transform transform_type=Integrity transform_id=HMAC-MD5-96 |>, <IKEv2_Transform  next_payload=Transform transform_type=GroupDesc transform_id=3072MODPgr |>]]
[20241227-115415] epdg.epc.mnc001.mcc222.pub.3gppnetwork.org -> 217.200.184.104: successfull key exchange, group: 15, ke: 3e986aefe5b064a797c84eb418f537c5ad46441a5dcc7c2a1275d8de16ce870423206d72c67a90ee6fdb76eb0b05e031222591fb93a95584c81a1e8423649da54cc6e3d7270e4349fcb88862dc0cc81b25760ad68c19dbedd7e5a4ac535c761cfcef2175bf7baa1a4a7cb91abc2faa3cf074dfb63d26c267daf398b20925763890f4d63ac5fde4b05e4ff8b74c5c9bde2b257590076c89914779685ae1e3186a82ceccb0d71ef0caec8e66ebbd87d31b7dbc4639cb90f8cd6b3227ec43aee85ad2dbb8699c517566f83a77add7db8afbd900adfaa7778b8889e2e5f39b8f957c61809a0bb514d4e5094769ae98630c9cfe41efa028b03effb967d08a0f5669c4c808bb19897fc0f8da41b7f5ec87c9d7b7f8e2bd896c7d80c8b86828fe4325bf5e2a204fbed2ff49d32519f66d86e0864b2c8f1c23954d73c33ac269e39035768a364a081090a3ed8ee184076a7c22af986fc35a983e14637db7eaf9b2be5928d0b5caff001f7d7caf482c19fc2e0e1ffbe6cad59d6dd1417502aee981dd7ffe, nonce: 2f466a0320858d034242d7e2347391636bee0a8cee0ee6566b24987590dc808804601ea4a0f82ff1d3fbeb25ca2a276b8f4f5216b718e4e5f99de52ae5614e87d144e99fe2fb6cdcf0b0ee4495fb3dc31a4fd4eba3a2e7156618996ca9bd47ba9b406c2616ad8f9fa5147acc6b85b6ae3f1edc1af5462de26bfd7f625a4da8b14537e862a47566dfb5, encr_id: 12, encr_key_len: 256, integ_id: 12, prf_id: 5
[20241227-115415] epdg.epc.mnc001.mcc222.pub.3gppnetwork.org -> 217.200.184.114: successfull key exchange, group: 15, ke: eb41162cba072506ddb27db68732a1653690a17dde2cd114e27f70010c49633d1f3434036c842294793217dbdb8374dcf075754d5fc7619f4f62136ff3c4a4c4b2a798297268966afb49fd56ea0be700e4c1bb6925b9f456a58d080ddb5e370146afef4a0f3354b63b82a9cd24d29ec4a22651dffb368d35beb10d1f0668093f9378ddc2e0a324af8553027d76ed44752c99e074f0266d388810ff04cdc0dc78fd6329c98eb075016b6913f0ac9be3a783d8aea7392a66c2c86629d027646c39741a37a87ba99c2277889c86808382fd03ad79959526ab77773edb1cf2b8a82455d5cf273dcdb914e9a1bd623db8aaa652a86f666ca519ed6adfed786b5a799bcb233ad08a55f7693e627be23175e3849514836c495943725e61e8139f76580f607bf522f8a9dffc711ebde8c5b9fdd922d18d46048d0c8d18f01fdbeab03d2d4f3bb98480105238f3322cd111d2a08ef210123c5f05474ff1aec113cab0ceec515aee51b84c7138c5cfeb130d571e76b28f0f91da1407bc4c6179b032d5b695, nonce: 8b67fdeaa588ec5316387ca554248b8a2afcb3061ba6c7a5f5482895ccff2cdeca3a21b67e877474293dfb6f2747921e28964ea5df5af6b3a4f09bd1fa0cf5f22490d45fe1d45ba0f9c440468a73ef11a39d5e5b656c41aa1966db8bd75f6e87f4f061b4c4795b50f92878a13235f1c37b4e63d36a4632c94387ce36b8b1d2dda1a01d2c208a9da4d5b71eba9088efab3e035973101bfcebe5161c9e2cf3a03655f008ce6b355e, encr_id: 12, encr_key_len: 256, integ_id: 12, prf_id: 5
[20241227-115415] epdg.epc.mnc001.mcc222.pub.3gppnetwork.org -> 217.200.184.107: successfull key exchange, group: 15, ke: 43da83ed9cf8852c0fe1ba993f1e5861eddf859fb5513e952409c2d3e3379cab00289a3073f5a766c9ba535c5ddde2729b5eef61d7ce23c14b5877db594256917742fa137612afa4bfd3f371e89835505318863096d5b2f4de18e02aabae33af3e6a4709f247140a7cd22b2546360322a93baacba2ef79a67861f48b62612faa5d80eb3dfd5537a22deb353ce3084ad36ba1cb88d4cb75687dc618188e005a1dde84460ce7f7ba9d84116c2381601f27f170ba0643596c2e913e1c8f69493c09b5c49792587018d4e7a8cb50cb891af253334df92775cfc11f695a9fab067ff23e380e6154db5772cbc39c0fff2a4eac28e6cc91d13a3cbd3f6379e60ccaed5b2332ce3b55721217e9cdbe92be02276410d3f3ea73cffdd54f933d60894b4ae74ca02b292cc501d1e006341dab23e9aaf741e25a773584602b70b9b44d9d83bc73e674fa3c84df2db2074b77b25335e563915175d219b7e6f50c1f9c5d472a8a82c12fc9d5724f380f2485c79ae228df78de1184c982532b1ef68eddfb95c772, nonce: 9aa4c16bd679f512ce1a9151093ba7017601bd467a6587eb16ee171a457a1c92e9d9453de510347de82671cc73b698d611704c10227509ee3d53643d619143f86ee6fe6cbf6aef330c8c4c1efbaad05dab5a63e2e9251a24f114e5f78162dab27ab6c64509a97cb5683a68cfeb734312575a12de946e365285b6374b68905c10bcd9035433087be7fee989c239eac899bd8a, encr_id: 12, encr_key_len: 256, integ_id: 12, prf_id: 5
[20241227-115419] epdg.epc.mnc050.mcc222.pub.3gppnetwork.org -> 83.158.8.11: no ikev2 resp
[20241227-115422] epdg.epc.mnc050.mcc222.pub.3gppnetwork.org -> 83.158.8.12: no ikev2 resp
[20241227-115423] epdg.epc.mnc056.mcc222.pub.3gppnetwork.org -> 83.216.33.116: successfull key exchange, group: 15, ke: 4e6e0a58cfc7c5a194ac66456ea2afce0a0c0feec50d39d672b9d85df4472c831856ea60000f09db13297c90ed3d7db1bab22b1a77f1b1f64b14c7b791e6ae3583080fe4e2d374cf97bb6510ff80fe715bb55c684f17cece394d6b3dc7622beb96811b840fb9d45b1ffac7dd94299dc7cff1d1b9715e0bd788a262f0486d2242019118f6d64e68e1015ef75f26a37c70faace8d62c42659d2f9bc788fa4453981fe8cf004ea23f32deb7dabc80e4d0eb7db616a56747522681e0da632e4a3db8471561e4c1d3fe825912c8c7bc9c0048574b080ab735aa6d00e078ca4d41032665bc0022abffb504e4c7288785d0501ee14b87a72843d64a54a8a4e7903d75f6f671796497c99673946278ba0f418b262526e7e1b2c14557e298159c17f8f9e1fc922bdd9747742be418a7f139c4bfa873da760c42e62b0a9588b9358f18f677003fd8e4fdb68e59d861648220389daa2aff748f10b3c6a1eb27fd17cbd60fa25bf9e082c67d261252b40363698540b7a39c07a9c402502436920fb869f60522, nonce: 35a8c3df25d6ca4fb3966fb1719ac8ce, encr_id: 12, encr_key_len: 256, integ_id: 12, prf_id: 5
[20241227-115423] epdg.epc.mnc056.mcc222.pub.3gppnetwork.org -> 83.216.32.116: successfull key exchange, group: 15, ke: 6fdbf730619c7ece74761ef1bb90cc27318ed639a613482f756f499aad956a89d6930a7432612f5fa63ad821f539e7db91d49f64f67a83719af2c0950268eac5da251560c2fbf7782f492ca537c6cdb9f65394d9e52854d0165c98c6cf6cf8c28b2ac64c8662cd111422133e45c36f3d8f8c9a3ab9fea1477dc23ca39513b98e5ed3a0492b482907a3f3251d8d94d07f1ed30b91e52f1cd7c5f9ea3b3ed634993a095d463362268b6dad80f1fef697bf3db028e8175e3403459c5fd93c12190e40564bb672fbe4840bdf3d1f4fe098b7dd5f4957703f0006e396a7f016052ae53de9bcd872182c173a03abd47e7314b222372bb4aa45ccca0e971915883ebcb352ef2fec93b1be96b370037a7d9e07410e6ff2edae868d46e68ad9a947c3c0c8e33d443e0efe030c329da4651ea96209a879789ab9b1c9b190b7102ec11de78b44fd1b23c38a445bc3545a0fe6a434f3ab84770adaf09246620c4c20b27962a95a9c915455cb30fc5724c460dc367ed77ec58a364baec1863b79a05c5a80fa29, nonce: beb8cdb77f240242884f6adc6aee1acc, encr_id: 12, encr_key_len: 256, integ_id: 12, prf_id: 5
[20241227-115424] epdg.epc.mnc088.mcc222.pub.3gppnetwork.org -> 151.58.176.6: successfull key exchange, group: 15, ke: 1d6fe4ec2f6345c4703e8fa1d0e7a07a7ee33fe87d76a1f79350ce76c0648534f8347341886efa400454e69133ab644e81131a29994da77f0f871da4bd5be9eabd4f3c350dfbe0e35c91a3a67ac99f54c6b042476764f42ffece4c1f02c8478c7cdf8a15801fcc8db053878a5cc890f6ac2561ea0b8a7c3d108ac52f858fc9fa9a21c2f0e7c6788ab3a167bb3043acd6a6f5464b7cd6f199c260772ca557159ccceb6cd3ccb56fa76d0377bdc7796fe79dbc32c34e429dd1e8e019df8f6221c1721a2c0cd8d5e6ab7cde55acc3d5d183ff69564968c41c9939a0b9c1c12345efbcdc4167308e11f4608de43eaf16c1f3a6e9e0645a098a7503d9a3a7a34b2bafc8d7146d8364265270a385e382f8addb5368b493c2c8b3b0b266ec5edd5e3ae0ba41307a38b3bf348074f0b8518e5e5ddf7d74056435e121b2b9c5f86a1bbd47f0af326b2c1d1b60c4fc734dbcc2fd5ab096434702be89784e539e97247a910fae985b455839854cc87c503240ab8e48ef1f45ca09a5ec74408f8fc4dafa75ce, nonce: dd0a559f4cfddab706ab2aa13707f0d6261388140efa21e2bc56d559c70b6ae943828625607853f09d72bdd8b2701cf51627eb872bc9e1f08429c986d99c, encr_id: 12, encr_key_len: 256, integ_id: 12, prf_id: 5
[20241227-115424] epdg.epc.mnc088.mcc222.pub.3gppnetwork.org -> 151.58.176.134: successfull key exchange, group: 15, ke: 057191d0c81a8c724135030f9dc4e02cc1b1412368035d5bab25b77a005990832dca644a281b23f3e53052215dab001640b61340b7b75672e96295812317eb3db443393ad9e6dbd860706147b548ea22a2c507f6036886e0428556d4cc377253a3d97a6af08c06b580e5a891f553d8386201653d2058c78112cf0ad7b246247b68b1fa089b366aee06085b1324993adccd8f95354f3ab04caa656f3bf3bcd40bad51915636e68e0d0b3ea13440145e2aeef16ea4c2dff1466bb6d7874ceabae17e425499976f171ef16a3e89e014a0f86f19bd0caa76f33025650fa99c37f5fef9ff3c956f532ff37d28c9a551f0403cfbb0d1d3b3b4d09cb692f440665239e69d94d8e57917075c4549496994bcc80524509f8920aa04e48de7bb130b2e3c9b349fa8c70a1e3a86cef6cdab44c368967e59bb6b84075127424cb1c7aca1290d573db999a018160e9ca98d633ef32194d2cc49d4253d1d9c4302619f7bf00a1a8861ec6e1cef7bdf4953342934e70ea1dae894a8d4d5bb323e232a1ba82aa7a5, nonce: aee81f420e5c7a538c052899f73e5ca2fec1fc00747d8a472d078cd4c08699ef31b2110a7e8aeccdf391da24c4d414974a9f856b411071ce4915ccad9670a8704dc9f3eea0406244f8305ec9049818f034b527258f0d362c515aa3fe3a038bb88045620d96cc3e4cafc6329418e5adc77e4df76f46b8fb9992815d91e3cf8541e859d5c88142b28f95281ac4b534acdb59d6eaeedb3bbad8fa482d5638505d1c96502d6ee39aed57a672b033fa872bc3269082071bf6757e33262ae9d816cab21364b88e575a6c7ee28e3463dd0f2e8f6e9d67e248d8abd24eb80fcb80683c8667363fff4f69f88792ab50dbd458, encr_id: 12, encr_key_len: 256, integ_id: 12, prf_id: 5
[20241227-115424] epdg.epc.mnc088.mcc222.pub.3gppnetwork.org -> 151.58.176.4: successfull key exchange, group: 15, ke: 9589d8814195ba41ee205069a4c1305dc56ea1338efe2126ec339d57b1a0a3424da695e579efee175f58a6a61dcf91a185a572266747b2ccc485568dc4cd0c39307f4c1034da54b34ba7c93a5886268d7f105c4538c368711b8497bdd863e03274c94ce2ae492719d9ae6f48356ec36dde627f19a7e49bc8afeacf822f280efa3a2d557185e2dcd11210e0ab64be16c37a6c0ef99391499d464e075c318bf203d79d833db2acf868b225b48ef63abd36c6543b88a125a11ab25dc884f0dde51b28c09928ed0471ca7c617bdcd1f347465d5f335366bca0bdaeb38c823b255f16b6d851ceb3ed2eb2dbb913ad46e2ab4e3143c4f12426915fa87e462eab96d6f9c2cd4243855ddeeb279a8849738ba4526f13a431d641e63cacb4de15a0aa373342679681f35f3239797f15feb6277a1a49dfa3fb1bf3691e5d02adb8e9249b36a00a2190157c66c2a7273d3dce65ee19e2cd7f39adec6675ff295d47700c315be2c52dd87a22057d2096eaa929579ac2f15b26e310eb50c7bf9f86ff7f9fa7e1, nonce: 63b29b3655c2bce847af0586bd850dbc1881d0d09b8c476b0ebea841604098917c7c55d208cda5498788c29b76f7ceeee58611c2f979c44c046bb0e8018a17ed6131cc5a339caa7950685a1b6fd9531a0b8cc8448e4336e7abdeffc71e6a, encr_id: 12, encr_key_len: 256, integ_id: 12, prf_id: 5
[20241227-115422] epdg.epc.mnc088.mcc222.pub.3gppnetwork.org -> 151.58.176.130: successfull key exchange, group: 15, ke: 456825a0c909c91d977b3774e39d1db87d0dabfbcc0d9efaf85e0b65d4a17457209a489653ec119f066472e93b73cc91d4407cccffe66ba53f07788e94b21510f813da605662e891d94243f8eb2ba1801c14f068bde235f05c476660dde088b92ce419353a149e9ef5c8c0dfe2deb2298d683f4b6623a471e76a15f8e923945ca0e07785fd4eef5f2538b05fcdf40602d18cd87dc7a05630fe3d2989c66b101255dfc6eba68f5c86a30a45955dfe80a2189b7187e4ac650dd953c5832d5ec2c837faf85e67465531d1d87ece0387b067e84a40a1972936de96f9c7f0b31848c3517c028fdf597a7c625ee788731a1cf9b701f6fe7d627d91f5eb2691b4ca51b1d3a3918ab4411063cfdb91396fb80bf46a4740bc3f448c8434a78b258b7a73ac492b3b4aef2402530470c549b634003e7fda74280f4cebb926174e6cc3de1c49ea46e4f4be8dbf80708d98570f20ce1db8780bb78df9f329e9fcfbab524428c73d4bc1319501f89cc7fe9f5635dca6a9b38326aa8e1c79f1c83886f2c7c4d4a1, nonce: a797852dd48dc68841238ca762e90de189f7b5aacd7e65472e40fb3b70d08bd5606916e839a9515c9f406bc957cd27b7f8213c9fa8314259bb58c8326fea89bd2105f62265e6872c77ab78ec9c754df579808fd334183dc47f52b2a4dbd63de2243ef4a25bb09123e60058f63802d5b2db40b3c93ab141d6a780c7f1f1e9ae5a026c2979d52081264c7ecd9c49281499e081ccb824093cfb149289936f9964320e133d0945994f9416bfbe43eada078cfcae39055149c45076968ef605edbd6b536c9fd77dd2ce2d18ca6285d77143e5b4b68f3448a6161df2ab019684b80a44af8b, encr_id: 12, encr_key_len: 256, integ_id: 12, prf_id: 5
