# key exchange: 15, sa_list: [[<IKEv2_Transform  next_payload=Transform length=12 transform_type=Encryption transform_id=AES-CBC key_length=128 |>, <IKEv2_Transform  next_payload=Transform length=12 transform_type=Encryption transform_id=AES-CBC key_length=256 |>, <IKEv2_Transform  next_payload=Transform length=8 transform_type=Encryption transform_id=3DES |>, <IKEv2_Transform  next_payload=Transform transform_type=PRF transform_id=PRF_HMAC_SHA1 |>, <IKEv2_Transform  next_payload=Transform transform_type=PRF transform_id=PRF_HMAC_SHA2_256 |>, <IKEv2_Transform  next_payload=Transform transform_type=PRF transform_id=PRF_HMAC_MD5 |>, <IKEv2_Transform  next_payload=Transform transform_type=Integrity transform_id=HMAC-SHA1-96 |>, <IKEv2_Transform  next_payload=Transform transform_type=Integrity transform_id=SHA2-256-128 |>, <IKEv2_Transform  next_payload=Transform transform_type=Integrity transform_id=HMAC-MD5-96 |>, <IKEv2_Transform  next_payload=Transform transform_type=GroupDesc transform_id=3072MODPgr |>]]
[20241227-115904] epdg.epc.mnc001.mcc222.pub.3gppnetwork.org -> 217.200.184.107: successfull key exchange, group: 15, ke: fd8cd71c7f9c92bbfac92b60c881d4a07d47424e0584d9f1bae7f124c6953b2babccadb6f6afc30ab836e604646cb466f517ee84ebb2976d5d47344bc9d33ca4fdb046e0b39705c91fe54714a33e9039f697291e4699f2396608e18c52380a1dd64e962f5bccc602cf3b2e9563d34d021762c12ede151425e7586d2ee4ac7f37ee07e5f511fab2640b135b07c392db5361e9f91eeea05af48c88e968702d7b543fb4c8f84ed99274b7c290dd157635c2dfb8221b6e210f8fb6a65e13adde2df94e4f5cb6144b71ad897f33d75e31a77a675fe789134f1feef23db83f65d7db7b784ec35fdba0767379ba4d3f55aa9946dd707b1470ef78c5fd6318911bc2e519d1a6908a76202eae11ab1f27cdcec9721229b349c1524310bc1d21c54086088b1dc8eb4a18898fe59774983dacd210478fba52fbd9f73e37674fd1b3e5b8954ce7a07adf613d5a03f086842dabc9802979e4745b779ee46bba1fe830d97216b256de7396fd9bcd16d2c8ff2e60582c4d66bc427fb412e84e14fbeac1e59a6e58, nonce: 8df803b090947bf384f77027ea3d589898c5c0a44a359a71ee58c0e8cdbe, encr_id: 12, encr_key_len: 256, integ_id: 12, prf_id: 5
[20241227-115904] epdg.epc.mnc001.mcc222.pub.3gppnetwork.org -> 217.200.184.104: successfull key exchange, group: 15, ke: f15eced8aae081796e8252243fbc89819bdefb7e655b31940ac5dd14b7e1597b316495e2aace730aa758266de8aef4a0158e1c62995d8b3decb11d30301dd6fa011486055669e24e3166351f83f7a9075e1c2d62e13ab4d8ddb189bb945e0c8be5577518aa2c1a9047702ee5d0605ac3a9c63fc5bb074ff1fe0baeb1aa4ed23cf3f2b129c7847801eb0cd4816fd6c16afd75c9cb4667a4f9e37ed0ca3b05d37c9338447ce5b37a6180ed1ac788ec0986c27d096448509f152801153261668795fac739927790a29d89f2d12f4de931bf696390e86f02ba868b9544f967589308d09ef55cac9c960fd5386e90bcd73abdc1d3b42461d31f3b1622c5d651eb3e76cff3263bd4579ae28f15887cdbaeeedd27b139a83c14a8900c61d2eff34e20c00e0d81853640a0a87ecfb48b58eda15f2f2e6190d3fd891c451e55b6c512165f1e6e75d0b9dacb247ddd43bf93372be5ba99f371e90e89747187c1c36c1da81371c4e890e76983cba8833aba57a044884f08cfc8176f241d390cdf49c1e1475f, nonce: d26fb3278939b10bbc220781d1fad823fbc12306ce429a8d, encr_id: 12, encr_key_len: 256, integ_id: 12, prf_id: 5
[20241227-115904] epdg.epc.mnc001.mcc222.pub.3gppnetwork.org -> 217.200.184.114: successfull key exchange, group: 15, ke: 7464289a6db3698a43350adc722e37908199d04cdb47cb6b842d97f15754bf32efc51998c993417252ec8648a770395a14bf6051a67587445a8e50a27828fce1857b0d843b772c0ec0bd95c8674edd21233285711cb575a3c39f1baf88ade47d24a56f5867c92f7b5041db2e6c0c6d917496d081395f7c1e2be305479c55843f4f19c95bd1ce7705d52209c813b560d8d2fa472bbaec3a2f6a4e4eeddfaec04052ce89d99d4c8c6ebee356b89da34c1b50df73a02fdd4c31e80dfc916319d56b0e4a6e43640c9b6465ace25b463062b7ef34b2bef4c501c70a121f4badd2f7e94da7805c7c4adef5fde50c0fae6f682b9e84b917b2dcb7119bc326dd267aa53c90aa2135052b37ed5ff84007453394a192d39409d362283add19e8a6144450c39f5bb507e3681ff8e5cf7ba72b3b69f72413e8fc7aaa6588ed2a5aca86507cd6abb030b99a6bbe3cfdaaecb6a26573fb418418c99c0ae68960848d27a53a4cdb61505d6717f244cf9ea5e24524705fff824d048a22fb28a9b2cf0a48e733bef2, nonce: a12f4d1503e30798946abbb297e6a00657c625f03b459ec8d8c2, encr_id: 12, encr_key_len: 256, integ_id: 12, prf_id: 5
[20241227-115908] epdg.epc.mnc050.mcc222.pub.3gppnetwork.org -> 83.158.8.11: no ikev2 resp
[20241227-115912] epdg.epc.mnc050.mcc222.pub.3gppnetwork.org -> 83.158.8.12: no ikev2 resp
[20241227-115912] epdg.epc.mnc056.mcc222.pub.3gppnetwork.org -> 83.216.33.116: successfull key exchange, group: 15, ke: 9ca2528294fc44acddedd3532e15e92edbbf8c299f169dc3694b961cd7287ca05c24a0de8eddf7f9f84682f0fdc63156fd3748aed47341da83ff4d5a9e68a96736e96e61f389937e6cf058a51d98a318288786e146d93b32a0d3ad34f479cb7247f65c1c0f31c7dc745e543abffb9131c5cb8429f1b8aa949c6287565718a6011b86ab546b39c37b8d24e590ee86e0d74dbbf92eee2519551614dd7e14fc752c1d6638ccabcf3aeb716b99aa543502cc4bb2a6ec76c76e0101fb5496576c8277d8d385790453c8736bc61f6913d6d00bb9e2be441d7f799cacfd068bfb9ee6da23c86fd7eaa9378733f2f208599bef54ce20aa1beb74b00b10b1a6ccd98bd3cfb8f76b2757049a4508c8120d02afa3e8cc68d741f1ab08ca3bd9220cc99e579c39f31007d7cedfb789adae3991c00e85568a878a05d3428db89dfcc75e1ea90426a162e177c1cba8dc6a5d4b5e666590aa829c56dd8140f77834b77066a99f639841210fee0215ebe45f17e863e6352dc672fae19923acd7032ce4eb4e4bbf0e, nonce: 460a5566e8e57946b886916c3611fb5c, encr_id: 12, encr_key_len: 256, integ_id: 12, prf_id: 5
[20241227-115912] epdg.epc.mnc056.mcc222.pub.3gppnetwork.org -> 83.216.32.116: successfull key exchange, group: 15, ke: 7757badc3361d203cbbd7ad6a4c7f298b0633c2701c41c3bb4f2c2b03b4af12e2931950bdac6db6f515b5e38e0c839de398e67c7c94081792e1009a8ce2ba0e73cf23f95d56f3371be5b78715ce7d605181615c6ba1d804618a5b13ea98bf86225726dc70b5eb685341b195e28a73d8bcfc6527fc741e230b0657eb544e960f0e715bb1b5d0e0bdac71e62bb0e714c2378c77870146596f5309da804e112c8713051f2b680b01cbd9f3cf3fe0b449e6585da70b92d95de8a148b8cb47e82bbcd3accc5d4b76d49cdb8e970279f65062453d3f47c3107721145e32a900af50a31cec088a178f14cd4aa650f0578876176ae633edb7506141185aa031d61f87f7582938081b0756b85e408ca41da95a2c472ba9bf74afcb0fc5f685a6463e6b8dfbea144717a3029565cac7c7aaf81c1bdb2d582049f2f2881e4f2cfe96aa7daba7e56202ec56590f4f3a5e770fbbff0b2756dc68eeff4e2a053f34fc3883986eaf52bf2254eb7691d5a88d6daa2af7eeae318362b26726093d6e2eede2e208651, nonce: 3536ffa33001ad4bbb6217c0d6ed1ce0, encr_id: 12, encr_key_len: 256, integ_id: 12, prf_id: 5
[20241227-115913] epdg.epc.mnc088.mcc222.pub.3gppnetwork.org -> 151.58.176.130: successfull key exchange, group: 15, ke: d1559e310514eeaff6ddfe7938d2d90f28684879c56ebe7b1fa0bc66a42c692fcc2d8b37922f8f385679aa481ba2efc9bce96befd0ad9b6e6de940dab0f484703830f6c25deb06e67ea8b749f54697d361d73ef54933c78f7fb99b25ed756d33672a3903b99c341061d5c5778a8aa15451151c6eef6327a0401530315125823c6714420972ff94ea1c8949f92ec4012a29888a852b682f63d78ab83fb5611eb9c4d75b05dfd3bdaea2095b1d72aa57d2c329dd1f537b78ef0a437d393119fa39842fa254b1fbf99ddf4168f2641211fe5df55e2fc2f24e57e1cfda3697d09231a0ea51eedee393b73b60e2d797768d2cd69abaf679fe43bb4c3a1b2409a36f8c18a789afb6e7b27cf233352147de63fbe04ae8a894f3c972ad7773bbc00e7a1ffbe0eadb55e456ba045fdfa91d7ad6035cb4af7decbe7b4fc6b0c62093b3a2b310fd0593397f276834f1a2397fea3be34123c7237110d00c5abb1bf943a4b0cffb0562fada2e0c7a15f7442175fcc5132b986ad41cf824daeab3f7352b3157ee, nonce: 650bb65381f97265dcf876611d6e72c7fc895b7a3a6a134c1838097d28fcd7cdcba3a936bc69a6acfecdeb0c2c3529bd1d49a9c043a1f5e3ff8f922ceb5b300a1ebd6233329e88b45218a781eb1507fa0f95dc8cfaaa925c4a02ac0e5f2ad5c063a96564c34600abf609d84a1b82a14c3419772874ba711278055598deb949684bcfe52384de723f7f9ce8231ee81bc7c239f52b68cb6b5d7f16b23e1b31a1a0bcb2e97c3b7fc6bb1992101f4f8367f0f46d11a8ef4429d25cc0853a07b6d597d876d51f9d34217265994562, encr_id: 12, encr_key_len: 256, integ_id: 12, prf_id: 5
[20241227-115913] epdg.epc.mnc088.mcc222.pub.3gppnetwork.org -> 151.58.176.134: successfull key exchange, group: 15, ke: 90929ff64da1ef587878de300f4122e03965b71aa691ba6069c5b02496c7f03d29eb424957906c3bbca274082aefb41994c3f921218afc9648970dd724d928f2e24caeb37b5345eb93eb40f03af48aad1e9a44dcd21184e5fa0e4c736851de8f0ee72426b19cde09fff7afc6d7cb45731c49c673211cb4156f317028a36fc29316e131557c34828229738cac6a96b39c746b66754b622e12c99b87895d90f98fb9d3b4f0b0a2520b7d641ee38bfbd6a0f0813fe678f1c80dcf5952883d6544f1c387df317f66849a0935aa86eee31a74c4680d28ce9a51a0b371c94712eadef697d0e01507add10179bd71dd18fa33a890ff88bbfd77782da1dbb2f70215b2e9e755964798bbaabffa84d64cc2bee3a2e7be5c734d9e140f695b83faae2b564439a323fdebb08734e9568a8e0a3172d06c1e33dde0447a507be4ca4724555f9fb6283470bb88820f87b997b1719859480b7b01cc8b24d9f92071abc77dda48d9e043034e32be72c68a12832dec1678dd0ffeaf1b8ef804f7b20a7a64f381eb54, nonce: ab241e79e6623f3b5744614b6e6410dc025419e3c5b5ac76b1b6dad896a2e3800ac884e6da8f5e79dfabba627aba8c8981beb53bd16ee0c5895ee2f96071a42d9afeed42d6e18a50f974ca1c5cf906e0ff84bf9b05d0fa7b5fff8f1872f25e357c068de7cf951593e9d98c05d8c44ed6ad699d50fd11a221358594157edb67e6751830bcc40a86e030145f3b221ef9e90d4729fda5, encr_id: 12, encr_key_len: 256, integ_id: 12, prf_id: 5
[20241227-115913] epdg.epc.mnc088.mcc222.pub.3gppnetwork.org -> 151.58.176.135: successfull key exchange, group: 15, ke: 69c3f0159a21845fcd3182853b09e86d33da4a9f018e18ed8aa1c1aaa43038fd2ab3b27b78319ed77b964b89af0912ae7713b975e61a374e0258608a3de98247075ceebc4f9e4fb050da8435c9d4e232e6d5985827030fc817b788b2e34bd7fc140e2bf0b5008c4bbf1a7b0e2065fe0c413c81ac07d769a23a54ec41d60a9c6d14d1123757569310915683bba5788d8f75b6aa5e99272ee3fa23e1fd7b760ba5740b786766105a641e0da00e3b47f09bfbba0836a4269a6e06dbb3a649184ff863af352e75c762efb034cdfecb1a625c959be959a001476fb766a2f2490d408dc4bcf5660a7fd9000a4dc50c4d1caada527ef94eff1f0b902d92c884ececd296b71b4dd780847d092cf243885e9f991d09e149224ad78da4a86240cca83ddbc53c3ee2e7af6e5e478560c132ed971882a82d654ee695091fdafa1768520e52da12e26b3def1901f7935eba3f0a8241120c6cb4077d23d1cdd14d77eace283b4fb472ba068d10b03213501327af966f050f83be72e3931494175453b87ed972cc, nonce: 59a6f5c826a5280024fe978d01da1632fce877811e2443c8782086537f29213b81e7acd48d6296d8b1adc31b6b38d913e61e7f7df8ebcc91f67ae8e078820861f15e25b18e4a4e69fa6572551b5d4f7c49eb84f4c020161318ca97dd93b807abb91cd30cc944d69ae1727e1378275011528c9f2bb5ea1b454d1f46302ba535ff06d09449e3ede63e70283d2d2053399ed34ac08028eeaf483618709cc8d52dbff98570712475f776501c48bf982156e9cd64031d61d35f3d184555d48c9cb34e8512fa1c9e7e000c9d7c2ca2516c2393dfbd0c4fcd280121e47233741b6339b97db0f27354f0ac6ec955cf90dad5e1643b458769, encr_id: 12, encr_key_len: 256, integ_id: 12, prf_id: 5
[20241227-115913] epdg.epc.mnc088.mcc222.pub.3gppnetwork.org -> 151.58.176.129: successfull key exchange, group: 15, ke: 41c44fc47eaf5d2edd550e718e755204617e989e4498b69d5edb39995828b0f06de8c2e4db17e5c008c03bed31ad885c3ba48f867606fb01790191da82e671d9d240e171a57f80e8a0a252a0824b4fbdc5f00627fa80b7335a598d9b440b2c9c1dde6e6e34ec4d12f11d88c4f4a82e0599f0d6e0c2156b6a8a34e4f4baa261aefc152c0a2e85e135cfc05d1d268d935852defdd8811f3ca98324b045cce7a31769b61658c6a41893d7e662156b025a949012dd03df696c283d26317cc30947c78551e32f413b0214d5131fe118281c45bc0f096cb43039c51dca7b8e31ef36f606b82f59872ec990c7842d1ba67bc9a2bd565ea4cd84b62b52b3a0efd475daf723b2f035929e596161aa04f929e9b60860a9f39d5e8abfd17253c18b5cf77375b16fc7ba691b32daaa53a6e506fb647909b0ce964b713ee1d098e408ecf240f44f5e787c2233710e5318f1ee2211ff5906ad6765a97066bee7d0ab15999153ba67f3c2dbd3d65a22f3af924566571bfa4947b1c02e6bb95d603d3eb45ec1768c, nonce: 3d96c7d3596287695dd130f14f68b8ff5aac0f7742dd0a21cad0c2178f4e01710b3e6c4f80e1b0d706f43c54d6b0b423f43007d417f17569af66d8cb3d6ea18cb059ac05ef6e6eefac97a66fb6893ff6312583d4a71bd3b437a38279627410562b8e759a30c29a2e4ffb0b309ef64d9a6d5f80eacd271860142948cc2b7b8b5c26c0fca4ac948473d60e33691656f4e931020cc5943724e522e88328ba58637390cd0d675ec9c835685fc233, encr_id: 12, encr_key_len: 256, integ_id: 12, prf_id: 5
