# key exchange: 15, sa_list: [[<IKEv2_Transform  next_payload=Transform length=12 transform_type=Encryption transform_id=AES-CBC key_length=128 |>, <IKEv2_Transform  next_payload=Transform length=12 transform_type=Encryption transform_id=AES-CBC key_length=256 |>, <IKEv2_Transform  next_payload=Transform length=8 transform_type=Encryption transform_id=3DES |>, <IKEv2_Transform  next_payload=Transform transform_type=PRF transform_id=PRF_HMAC_SHA1 |>, <IKEv2_Transform  next_payload=Transform transform_type=PRF transform_id=PRF_HMAC_SHA2_256 |>, <IKEv2_Transform  next_payload=Transform transform_type=PRF transform_id=PRF_HMAC_MD5 |>, <IKEv2_Transform  next_payload=Transform transform_type=Integrity transform_id=HMAC-SHA1-96 |>, <IKEv2_Transform  next_payload=Transform transform_type=Integrity transform_id=SHA2-256-128 |>, <IKEv2_Transform  next_payload=Transform transform_type=Integrity transform_id=HMAC-MD5-96 |>, <IKEv2_Transform  next_payload=Transform transform_type=GroupDesc transform_id=3072MODPgr |>]]
[20241227-120447] epdg.epc.mnc001.mcc222.pub.3gppnetwork.org -> 217.200.184.104: successfull key exchange, group: 15, ke: c951ac38fca9c1cc6292d8b3519bad41b6a4f8b268061547e28b7f57536e9faa41942c4deef865c94f898cabd5aac7dbda844b0f09ddb109d02f67c74fcb1069b26ce5420a85a6aeacd0ad0cd6af0ec6f010490c43ef33072f9e8f438eb664101d21c65159832f16ab5ecd79f9c31cca8f29f9394970eb15fbd77e97057e5c867ae9e85fff0a42bc57169b398a890612c87626b325eab0ca19913a40dc35878a1c7c28d60630021c470588660724765effdca970fb6e284061f6560209ada115ed6badbe9bfbac8cfacdc9f6765929971f646e0d0d7f2a5836db8c69b5dfea4965e8d94fc3c600280827bc22d1ebf0618775f2b745a05a919495a87afec1b42491fa2987f71aa45478632bea6ae5629a8360de4e716fcce1b05c18e32930141cfb5e86f292de6285935609299106561027ac10cf1774fc4a032d913e3f02458f6686f208e927a2b7a336e049e21534dcf52820eaa227dcfc2151274e6a1bf32d9c22507d2d9aab9df10cce8031e307505ac05afdd1a3c5b474f5aa07c9148d45, nonce: 76c052da323d91e3138155c36c0af8f86e22f303bf71bce7d007533ea0272b3a31c9fcbd479c03984e211467d098814b5793e067ec066e46b104737b0d0a60f12f451690a8f25dafa678d4afef30f3a1b79cd07dbce3758c94c849bde3, encr_id: 12, encr_key_len: 256, integ_id: 12, prf_id: 5
[20241227-120447] epdg.epc.mnc001.mcc222.pub.3gppnetwork.org -> 217.200.184.114: successfull key exchange, group: 15, ke: 9cb3f6ae1ec4ac112b9a05b4ad68be43e7912afa57f160df58da8415d877a6df3044425b649fb0664eaefd10dbae956c5e2270a245ff03a13b67ae4dfaf327f1a533d288180e97dbb4b2ad747b3b8af35e5227091913955a97e528302bfafa6a2765be4b1b4d99930aea60c3a2ad1fc05fc912d0c00cb3caf9dd2135fdfad6edc8412090e577ca099b29995f326ca61ccf495cbe6e27c6f88e2d155e690bbdecc79b723a6ba089312969764d04cbdcb9ee8ffda2f8c98aeda5cc2beadcfbbc4979d7a527ca8a29b0c09fa5ad12d93059055f176fe58b55462a6717dacc45129c21c666e23e091c169b8d96091f2f88c5b251646165648ddc23e801b0961173958fe188a3091459f94b44c6db7a7db1cc4fc641eeb446609ed5ce58bf552538aaab820b1355e6801789e13c66a2eda9831699b72e203a0719078bfa3b7612651c2c9fd363ff668f5b6ebfa46558d2d30d781c2b1e385a202a52071171903b4203529df88ed7f76e952a6d81a507e0651d9b3a0fcd9f7cb287f6aeb8539742f993, nonce: 022b0cc37f4edbb9cba70faec60cf59da0368402e6f3f5cd4e7605747928d7865e78517ab575b5aa, encr_id: 12, encr_key_len: 256, integ_id: 12, prf_id: 5
[20241227-120448] epdg.epc.mnc001.mcc222.pub.3gppnetwork.org -> 217.200.184.107: successfull key exchange, group: 15, ke: 9024537ddfbb82990c70106a8e184af507937384e135f6f050ecd27490147542c9445fd09ef634f293811ee3bcb3f6d0b6087f55a9f986c20c59c7a2eaaca4132e2d4184f8020e6d3f3c845d13c71eadfc783b95cfad19b13ca69ca8e11f3ef5383958767aa512a6045ee1e5a5363de8044bd183412fcbd1c1e40ae230e8f660abf8d9e79eb2bb7ab6932e5ceb32b9ec566812adb402c03232cde3c24d5555f90d072050be417200be4de5e8eb816526cd659fda436f99284cc63e8a1269a90e75b614bc15853788019302f5bbfadd1d2c947d79884c965a8c7b536b3a0b0159e4b0eac54de4e077dde4c34b480b60141a95efbf4dcff45871c8c75c2d3d97673874da2ed4074985370a10ecadcda3ebc37bbc4562123ac3ef6a084947067d91dc17941e085e2120d2e34289c7d1c379cba6c5e571b3be69ddebc99a7aee7f64b74088f547c8bccf4d18de8a68dd84ac5bd317d74e04a1775a22c9e258122c7d76e448cb1ff406a01cd950486324c4d111d5a27916ee356416e3de70a4b515e4, nonce: 2f11767530535ec234a7380e676417ffa3f7e2b18a13cf84d68e41452639037f5c1b710105, encr_id: 12, encr_key_len: 256, integ_id: 12, prf_id: 5
[20241227-120449] epdg.epc.mnc050.mcc222.pub.3gppnetwork.org -> 83.158.8.12: no ikev2 resp
[20241227-120452] epdg.epc.mnc050.mcc222.pub.3gppnetwork.org -> 83.158.8.11: no ikev2 resp
[20241227-120453] epdg.epc.mnc056.mcc222.pub.3gppnetwork.org -> 83.216.33.116: successfull key exchange, group: 15, ke: 624b747eb975d1584b3e1b65d7cd4f1977bf86a89aa3110636bb69f423171ba5fc39aaa5adde22129e749347a450c981b22cef7d9b026ebe1227a7db6d9179ef08cba7e7732a6c9cd75e86f3f83231e6a258650f28730d29f5a7586a1b76e0a3674a67bbe64f4183c259bce3d2a9182bbe201052719c3a9ed557ed8fe74f7795f161905f34dfd6d2c2d185d2fee0f497dcc59c07e231c6924971dc857051ecdef81f78187eed0056be713678ab41110d9aff3db5ea3ceb1e5b91b19cead98ab8b755b0a61cfe0ea6249ddd011afe6e81c10bf692c3e2cc55790fbb3484682bbf4c88c342c8b712dbfe691c7049611ffae87295934969db1589087a231028929e694dc87675aaed0d51bd4d7c52f0f7d6dbbf629f7a4363f6c8bb54a6639b507bebd5895b8645ee6fdc222e0b5391119eb27e37ab6868115bb9303608e073f1138cd1000634034eb5c50e17b0534939c0818cec7fad5bd539796fb223faf4aa80b067106c3ef857f68051e1cf4bb1f652e8ca863a8bfc5b67d07d451e93eaadea, nonce: ba78d12afe14214a99b3d7933dc11944, encr_id: 12, encr_key_len: 256, integ_id: 12, prf_id: 5
[20241227-120453] epdg.epc.mnc056.mcc222.pub.3gppnetwork.org -> 83.216.32.116: successfull key exchange, group: 15, ke: 816418867730f5bf399fba4b14c76f284ee8d5dc2dadff392a705a99c392f39f413d0118f015e0c4b7e792e23f4ea529d189a484fe05ac45e585466c919915d91a4828f6553eaf36ef453d5548b07abf9c5653654222761fc214857b36c5076d3520f6d08280557013070c52e572f7d3e883c654e93017afa354cac12b86056f94d12d4cbcc1be6b7531b71d005f52918111d03e1b6ba3331dd8352465cd0b96842ab157ea4465d15b4c6f6367e12ef708feb9bb8956f52c05d853f794b09aeb87c0924f60c424a6f19c3368136b10a691a7053c71563288afd19ab5ef28dfb44b5cc1aa05dc320369cf8f6af318fd8e4d5737939d8da77b8b6c83b5d189b38b89a2f3089da2cb1da1c340de5da4a05cc38588a65f86ba1c8501b63114377e58a230f3a30772b0b78561ba540910c854126ea4d5bd463fe2d59a2f07f7c377f0ab39902185cb98973fc402dc56ae74c6d96033cf8a414491aeb47a339e45616e3f70f0a58694fb1f82a8388813b5ffd7db57fd4e77a2a73e9e4d822c5785f57e, nonce: d4901cf650dbe547b296fb93cd2ae14e, encr_id: 12, encr_key_len: 256, integ_id: 12, prf_id: 5
[20241227-120454] epdg.epc.mnc088.mcc222.pub.3gppnetwork.org -> 151.58.176.132: successfull key exchange, group: 15, ke: 0674b02597eca3ac659ac29a3291d5ec35e13421c12f0ba831cd118618cc093a15c2abbf020cc583e560511f96b4d7ee0a528271563bec0839fa7203b4e9cb7ea69f02c43f86ae09224fa1561d451bb57a6c6c878ec27be85f51d05dc48dc4c6ad7576ea27732b1e7f74adce759b54c38b78f4cd56edcb9f638d42a885259143a4d22de9de7247aa5756201b808b04c2c50e2d51b85862cf8abf6ac1d6a20314174f2fc141afca4085c02c40aa5f136178b464b899002893d7bb9e7dee8d178b463f50830a1a6f6eafc2082673cb9a9810d423cedeec7d0710c43b330b51befcbf659b98eb101ac9211e7043b65d04b153827cb989d58bea441f8ac823d48bdf37b4e42085f02eb6e4ff52ba10fda6c7e6667b7eb2bd96137cd56107ac20e59547d2518797af68a2c18a478771f4c5db993303ebe3a44260a4e8c780832cf382fb80a18dfcbdd15f022e785ce6f5c36501c9e1b5a907e278e6103dde01611645f1d2f7dcbe58c565ad24f833b5539ae5aada19238d8b67ee1bed866f5de116df, nonce: b4a8cbbb12c5cd45d38c91cdff7c260c2993ec94a43d17e29f370d98540a4a2a4ce7d9115c858f85138f6f6828f1e1fceab022b330be7a4d292a32e6aaa599e5afa2efa561764b4e87e3167890b94b944d4535ae5fc67ce8eddc4898454d45d26368fc5d87eabc2a56e84b7fc665667e765ccd3e76f397d9e3899840eb0fd242353b3a22ce29a392d0a52575e22128c0e018fc864d98b55419aefed04fd832e70c2bf1ad58c6dc5db7b6878e248742a85bed9c95, encr_id: 12, encr_key_len: 256, integ_id: 12, prf_id: 5
[20241227-120454] epdg.epc.mnc088.mcc222.pub.3gppnetwork.org -> 151.58.176.144: successfull key exchange, group: 15, ke: 63e3b91ab1fdb1c5ccc44921c35c469f52da5dfa78c38de194ad7abde51069c874d0671ae635379d7d7e6904e260e603e4b423c276c9bd2a9f73c320513f6f2c624f4955e6299dc78650cffd17d044be77b200b9c98427432fc6cdacbd573fa2444e9fecc4aa81b93f5e32db0dffa27ae35504cd2d08abfacfed4c5b4259f4d44482656ce2e7ce7af36b8f8576a7aade4e9bb9329bfbf31264fcedadbf09d11b3694c8de8d9359c05ee97bcb01aef44e82a45f577cfd4740c295543784c03ad7c9a9e28a728a9961a646fdc20c3b602afdf6d44041115b649e7e59e02e55bbbb2264d4acc87677cb5369df39bbae7e6ba8935cc21dd472c7bd1a5d357c036d867d96c9c14b49709b7a5303a013471c5977697cbbe4bc37191fd243aa4cf4fa86e14ba4e43ae3a3f6f77ef0f163465d8ad5c90e07c4c873a23bcd170624194ac399920e831df9648618d81b591d8ba392cf2dd85977e24d44bfc4ef24804465fa2a8ea8289a21aa6315a0dc8a95228e006efd96180e67962483f05a54a965b494, nonce: bfff3d2bd63ef37b757dc9e496a8d10c1f3515ab61ef8d59f97988fcc9fda7e55a0412ecdffe3c2e798fbe8e2ab5cc7a1f7ee6a6c8df2a54c2233f43907adbf77b61ff7f671e7f12c53a0433fd41e680b92879695dbe122c05fd016417236bb0908f804240359f147a7cb19344eb6e97861cbf0fcf018f6098e9e0d33a2b559fbf88538e2eb3926bfe893e8c6b2dad04bddc9419bc782a4cb35343ec730f6e04d9d8590c2a51aa28093aafaecb2b8148acf4da872f53ba0db4c00b95fbaf791512a5d5eeeb9563d6b1ab2c32727f2b0a01be230ceb9c30b158b87bf42d5277d573614fe9579909796882e421750fe317dfc49a2e752cc947b482dec8, encr_id: 12, encr_key_len: 256, integ_id: 12, prf_id: 5
[20241227-120454] epdg.epc.mnc088.mcc222.pub.3gppnetwork.org -> 151.58.176.129: successfull key exchange, group: 15, ke: 5baa697b362507dfa0c0b94ce387c54a7649e6918b3e05c17cabe30f4c4814d87ccee76f698acb71fb10b040be5c8bf60e8ce53db64ede188eb3e6ea92dcb443b1a2a1d36b57df90c81c2980bf28df32d01f82051ec59b031abab52ac8ef61e2ba2c11d0052a319ca2823823af6ba89c87340e50b7903bfc1793fd252230c3623fd4520ab9cb4f77e2b7529796e92a1601619f638696353efb002d0be69e6ddc5b4438b9db164e166444599fa4b5c694fbafe0060ef270029bd5f1dca9a5425ea78e2775edc41fc72e78bf66f6784ea4160df97f5706576a1f94903b406cf85b75159e41ecaa9e23ce1725003575b6b514078f892541beb7c08984c4a542742f0e1045e7195c2a77e2037a89bc67342b631a4097666212bb137be90b458c1e9b2801af1cee5df260568a938f7897a4ef797379cf29a26d730d6aa1c32c5a7f5f7a15ce7262347167b4789ab88a9085376b5ee4118dcb51b34bb4471af1e49048cfe5b57058fc94ddbdc03ac18465af80f9471b289d526de82bceecc103690c3e, nonce: 811671ec92cfeeda9208c6157c0205d5c0e74845648e577f8a5cc158f89ee50c0e04d7f2bfc2673e2f24c7e8574498f442c6fa4cc2f1b53d0de646299264d911ec700f6c7913d96cda654ae37422f8, encr_id: 12, encr_key_len: 256, integ_id: 12, prf_id: 5
[20241227-120454] epdg.epc.mnc088.mcc222.pub.3gppnetwork.org -> 151.58.176.133: successfull key exchange, group: 15, ke: b4b9444d3ccfb75eb131a815d4ba77e192ed0c40dad6e9cbbc4d64fe8cf8a098d5b4854db00851cb244271ba61df2ee01000dfbfc1315bc589b17a49e0edb3c38f650fdd48ba44dcfb4cbfacd36568588001299738d665b798a64e544819c42b75374077b353245063e411b39d000c263452bd328f500a82adc2dd1a9a35d90b95a8465cd901d33e2bd7d39ed41777b0e3eca751800023db3b5bee650ff7df1e88dc1b4077e18fdec9b80b280ab1e159a1c58e9a9359999ddfe1a4cb449a4ffa5cefc4a95c2a0fa22433418b397145f07ccd5479b8599c3454d8522817a7ca858dbde6dce37240dd2549a9e0ebb1a190a88f2f31202ea34157a6483dc56cba73ebf9ab0fb72700f05b22f698f33c120e1f24375702e41a5e9782b6a446d43ee25c9c05f9f7de9e16e9ff3aef4eeb759472546c5cda9b0d8b1ad135b28b5c8dcba110a981d099105056a8a81fc5bdde758c2dd7f97e3094a526e95acadffa45e929e0c50d5e2a460eea12026ec9b80f193fa29feb34baf186da2d414bc75b26d3, nonce: b4de0174c4881afb385874b0b9096df24ccc324cba526d8aeeb99f097a9ed255e2f6ae7fad97785dff4489370895881180a4467c973054f3, encr_id: 12, encr_key_len: 256, integ_id: 12, prf_id: 5
